version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Nguyen Dinh Tuan Anh,baseline, v0-local+p0c0e80df5a39+t8f1981ca977d,p0c0e80df5a39,t8f1981ca977d,Establish finance baseline with unchanged prompt,Local Qwen model provides a measurable baseline without provider errors,case_accuracy,,0.5667,runs/v0-local_B_base_openrouter_20260915T202134050065.json
v1,Nguyen Dinh Tuan Anh,system_prompt.md,v1+p0c0e80df5a39+t8f1981ca977d,p0c0e80df5a39,t8f1981ca977d,Repeat baseline to confirm measurement stability before prompt change,Repeated run should preserve baseline accuracy,case_accuracy,0.5667,0.5667,runs/v1_B_base_openrouter_20260915T202620894586.json
v2,Nguyen Dinh Tuan Anh,system_prompt.md,v2+p82c7aa3331db+t8f1981ca977d,p82c7aa3331db,t8f1981ca977d,Clarify finance routing and confirmation boundaries,Explicit routing and confirmation rules should improve tool selection and transaction safety,case_accuracy,0.5667,0.5333,runs/v2_B_base_openrouter_20260915T203231844390.json
v3,Nguyen Dinh Tuan Anh,system_prompt.md,v3+pad1fa9e8f7e1+t8f1981ca977d,pad1fa9e8f7e1,t8f1981ca977d,Specify exact arguments and reject stale or cancelled transaction actions,Exact schemas and cancellation rules should reduce wrong arguments and boundary failures,case_accuracy,0.5333,0.5000,runs/v3_B_base_openrouter_20260915T203732655744.json
